Date,Store_ID,Category,Sub_Category,Product_Name,Product_ID,Region,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality
2023-01-01,S008,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,West,478,9,104,8.82,32.75,0,Sunny,0,32.79,Winter
2023-01-26,S008,HOME IMPROVEMENT,Hand Tools,Hammer,P0023,West,219,65,9,52.28,20.32,20,Sunny,0,22.02,Winter
2023-01-13,S008,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,North,107,76,41,65.99,11.63,15,Snowy,0,10.7,Winter
2023-01-19,S007,BOOKS & MEDIA,Physical Books,Business Book,P0016,South,125,53,39,51.74,26.01,20,Rainy,0,27.13,Winter
2023-01-10,S001,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,North,340,10,51,11.72,43.72,20,Sunny,0,41.43,Winter
2023-01-07,S001,FOOD & GROCERIES,Fresh Produce,Bananas,P0024,North,262,34,24,38.04,84.74,0,Sunny,0,79.11,Winter
2023-01-23,S009,KITCHEN,Small Appliances,Electric Kettle,P0013,North,339,37,109,31.39,29.24,5,Sunny,0,28.4,Winter
2023-01-13,S006,KITCHEN,Small Appliances,Electric Kettle,P0013,North,428,37,166,38.83,13.95,0,Sunny,0,15.03,Winter
2023-01-27,S002,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,South,357,48,177,40.95,25.78,0,Rainy,0,27.13,Winter
2023-01-13,S002,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,East,191,48,130,50.7,30.92,15,Cloudy,0,31.46,Winter
2023-01-13,S010,FOOD & GROCERIES,Fresh Produce,Tomatoes,P0025,North,317,36,95,35.98,28.18,5,Snowy,0,27.48,Winter
2023-01-08,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,West,393,8,133,8.93,47.34,0,Rainy,0,50.3,Winter
2023-01-02,S006,FOOD & GROCERIES,Fresh Produce,Apples,P0027,South,210,51,56,53.2,44.33,10,Rainy,1,42.75,Winter
2023-01-09,S008,HOME IMPROVEMENT,Hand Tools,Hammer,P0023,North,228,23,32,19.24,63.34,0,Sunny,0,67.54,Winter
2023-01-03,S002,KITCHEN,Small Appliances,Mixer Grinder,P0004,West,375,41,77,37.48,50.34,5,Sunny,1,51.71,Winter
2023-01-19,S006,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,377,72,156,78.77,78.43,0,Cloudy,0,83.44,Winter
2023-01-25,S007,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,North,339,30,116,27.4,60.59,15,Rainy,0,60.36,Winter
2023-01-06,S008,BOOKS & MEDIA,Physical Books,Business Book,P0016,South,234,70,125,67.33,47.42,0,Cloudy,1,46.42,Winter
2023-01-02,S008,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,East,269,62,195,60.42,32.97,10,Sunny,0,35.69,Winter
2023-01-15,S006,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,North,234,71,8,82.97,42.53,10,Sunny,0,44.29,Winter
2023-01-13,S005,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,West,305,34,164,36.88,44.59,5,Rainy,0,46.43,Winter
2023-01-05,S007,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,South,409,77,168,88.91,62.75,5,Cloudy,0,65.69,Winter
2023-01-18,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,East,379,57,43,64.21,10.14,5,Snowy,0,9.27,Winter
2023-01-17,S005,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,West,495,21,50,20.89,55.24,0,Snowy,0,50.93,Winter
2023-01-13,S004,AUTOMOTIVE,Engine Parts,Engine Oil,P0001,North,287,68,162,58.92,36.38,20,Cloudy,0,35.49,Winter
2023-01-25,S001,BOOKS & MEDIA,Physical Books,Self-Help Book,P0028,South,358,1,15,0.91,95.97,10,Sunny,0,99.14,Winter
2023-01-16,S009,FOOD & GROCERIES,Fresh Produce,Carrots,P0029,North,328,50,86,52.09,40.29,15,Snowy,0,41.76,Winter
2023-01-21,S006,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,337,65,25,52.08,88.35,15,Cloudy,1,86.61,Winter
2023-01-15,S002,KITCHEN,Small Appliances,Mixer Grinder,P0004,East,315,60,0,71.67,96.18,5,Rainy,0,102.19,Winter
2023-01-29,S001,FOOD & GROCERIES,Bakery & Bread,Croissants,P0030,East,402,14,89,13.6,93.83,0,Cloudy,0,101.92,Winter
2023-01-04,S007,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Pencil Pack,P0011,East,89,118,8,100.44,81.71,20,Cloudy,1,78.46,Winter
2023-01-17,S008,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,North,360,29,43,31.94,69.38,15,Sunny,0,63.68,Winter
2023-01-16,S006,HOME IMPROVEMENT,Hand Tools,Hammer,P0023,West,341,72,170,61.51,58.11,0,Rainy,0,60.73,Winter
2023-01-01,S004,FOOD & GROCERIES,Bakery & Bread,Croissants,P0030,North,389,53,167,56.01,60.57,5,Snowy,0,64.88,Winter
2023-01-08,S002,KITCHEN,Small Appliances,Electric Kettle,P0013,East,66,107,29,110.12,21.47,0,Snowy,1,20.67,Winter
2023-01-17,S001,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,South,412,19,133,20.24,63.17,10,Cloudy,0,58.2,Winter
2023-01-17,S006,FOOD & GROCERIES,Bakery & Bread,Muffins,P0032,South,401,20,170,22.79,84.5,0,Cloudy,0,76.63,Winter
2023-01-14,S005,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,284,11,85,9.47,74.51,10,Cloudy,0,79.7,Winter
2023-01-17,S008,KITCHEN,Small Appliances,Drip Coffee Maker,P0033,West,423,3,173,2.97,41.35,15,Sunny,0,40.45,Winter
2023-01-06,S005,FOOD & GROCERIES,Bakery & Bread,Croissants,P0030,South,286,107,13,121.97,73.86,10,Cloudy,1,73.23,Winter
2023-01-10,S008,KITCHEN,Small Appliances,Electric Kettle,P0013,East,330,29,185,33.13,19.18,0,Snowy,0,20.28,Winter
2023-01-27,S003,KITCHEN,Cookware,Pressure Cooker,P0034,North,169,10,30,11.92,68.51,5,Sunny,0,69.79,Winter
2023-01-26,S001,KITCHEN,Cookware,Non-stick Pan,P0035,North,374,26,177,31.11,70.37,10,Rainy,0,64.59,Winter
2023-01-11,S008,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,East,342,79,164,84.33,55.88,0,Sunny,1,50.55,Winter
2023-01-29,S002,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,South,314,65,83,53.65,91.8,10,Rainy,0,97.22,Winter
2023-01-07,S001,KITCHEN,Cookware,Saucepan,P0008,West,324,76,16,76.57,62.62,10,Cloudy,0,65.3,Winter
2023-01-11,S002,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,South,333,26,167,22.48,60.62,0,Cloudy,0,64.88,Winter
2023-01-11,S009,FOOD & GROCERIES,Fresh Produce,Potatoes,P0036,East,341,8,63,7.36,95.16,10,Rainy,1,95.53,Winter
2023-01-27,S010,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,236,72,169,81.21,31.34,10,Cloudy,0,29.38,Winter
2023-01-24,S010,BOOKS & MEDIA,Physical Books,Fiction Novel,P0021,South,226,76,19,77.52,33.46,5,Rainy,1,34.46,Winter
2023-01-24,S002,KITCHEN,Cookware,Pressure Cooker,P0034,East,461,18,162,19.42,27.34,20,Sunny,1,26.64,Winter
2023-01-19,S003,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,East,297,44,19,39.95,57.83,5,Rainy,1,59.96,Winter
2023-01-23,S002,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,East,274,52,56,49.48,19.45,20,Sunny,0,21.11,Winter
2023-01-27,S008,KITCHEN,Cookware,Saucepan,P0008,North,360,79,69,82.4,90.69,5,Sunny,0,84.72,Winter
2023-01-16,S009,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,West,282,98,36,93.25,76.19,15,Sunny,1,69.38,Winter
2023-01-16,S010,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,West,406,56,128,51.22,95.74,0,Cloudy,0,96.13,Winter
2023-01-22,S002,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,East,310,21,23,18.19,15.17,20,Sunny,0,15.91,Winter
2023-01-10,S007,AUTOMOTIVE,Tires & Wheels,All-Season Tire,P0037,South,441,82,178,69.69,11.25,10,Rainy,0,10.55,Winter
2023-01-20,S007,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Pencil Pack,P0011,East,260,1,172,1.17,78.73,20,Cloudy,0,85.09,Winter
2023-01-21,S003,KITCHEN,Small Appliances,Electric Kettle,P0013,East,105,49,28,45.82,71.12,10,Sunny,0,75.84,Winter
2023-01-04,S008,FOOD & GROCERIES,Dairy & Eggs,Greek Yogurt,P0038,East,312,87,164,87.54,90.41,0,Rainy,1,98.28,Winter
2023-01-02,S006,AUTOMOTIVE,Tires & Wheels,All-Season Tire,P0037,North,412,12,89,13.87,26.75,5,Sunny,0,25.97,Winter
2023-01-15,S004,FOOD & GROCERIES,Dairy & Eggs,Cheddar Cheese,P0039,North,544,22,196,23.38,30.35,10,Cloudy,0,29.71,Winter
2023-01-04,S003,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,East,163,27,35,25.42,49.06,10,Cloudy,0,47.68,Winter
2023-01-10,S004,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,East,121,49,50,57.79,96.37,0,Snowy,0,105.68,Winter
2023-01-05,S009,FOOD & GROCERIES,Dairy & Eggs,Cheddar Cheese,P0039,West,236,57,128,62.15,76.77,5,Snowy,0,81.77,Winter
2023-01-27,S001,KITCHEN,Small Appliances,Drip Coffee Maker,P0033,South,243,45,109,53.58,76.37,5,Snowy,0,75.37,Winter
2023-01-26,S002,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,West,246,43,63,39.24,20.35,15,Cloudy,1,19.39,Winter
2023-01-10,S007,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Pencil Pack,P0011,South,331,80,151,84.13,23.39,20,Sunny,0,21.61,Winter
2023-01-16,S004,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,South,407,8,97,7.7,37.58,0,Sunny,0,38.58,Winter
2023-01-10,S007,KITCHEN,Small Appliances,Electric Kettle,P0013,West,170,50,89,54.23,32.23,10,Sunny,0,34.78,Winter
2023-01-19,S001,KITCHEN,Small Appliances,Drip Coffee Maker,P0033,East,333,20,110,17.48,95.35,5,Rainy,0,92.75,Winter
2023-01-23,S001,BOOKS & MEDIA,Physical Books,Fiction Novel,P0021,South,356,79,166,71.92,62.59,5,Cloudy,0,57.42,Winter
2023-01-19,S001,FOOD & GROCERIES,Fresh Produce,Potatoes,P0036,South,322,15,139,15.71,37.13,20,Sunny,0,36.94,Winter
2023-01-20,S003,KITCHEN,Small Appliances,Drip Coffee Maker,P0033,South,331,97,114,102.04,20.57,15,Snowy,0,20.31,Winter
2023-01-13,S003,HOME IMPROVEMENT,Paint & Finishes,Interior Wall Paint,P0019,East,557,14,177,12.27,83.31,5,Rainy,1,83.23,Winter
2023-01-07,S008,AUTOMOTIVE,Engine Parts,Engine Oil,P0001,West,487,46,146,40.81,72.7,20,Rainy,0,78.21,Winter
2023-01-18,S005,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,South,277,31,57,25.37,31.44,20,Sunny,0,28.54,Winter
2023-01-20,S005,KITCHEN,Cookware,Non-stick Pan,P0035,North,270,40,83,33.33,73.49,0,Sunny,0,74.21,Winter
2023-01-26,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,East,282,40,56,43.69,35.17,0,Sunny,0,33.45,Winter
2023-01-21,S007,FOOD & GROCERIES,Bakery & Bread,White Bread,P0002,East,529,45,192,43.12,50.15,0,Sunny,0,52.46,Winter
2023-01-16,S008,HOME IMPROVEMENT,Paint & Finishes,Interior Wall Paint,P0019,North,463,35,145,34.87,75.65,0,Sunny,0,77.88,Winter
2023-01-02,S003,FOOD & GROCERIES,Dairy & Eggs,Skim Milk,P0017,West,261,38,103,31.92,57.41,0,Cloudy,1,60.01,Winter
2023-01-01,S007,FOOD & GROCERIES,Bakery & Bread,White Bread,P0002,West,550,12,33,10.79,17.52,0,Snowy,0,16.27,Winter
2023-01-31,S002,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,East,308,103,78,96.07,23.91,0,Snowy,1,21.79,Winter
2023-01-14,S001,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,North,130,58,36,46.43,30.19,10,Cloudy,0,28.54,Winter
2023-01-03,S005,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,South,130,81,26,95.79,35.36,20,Sunny,0,32.36,Winter
2023-01-02,S002,BOOKS & MEDIA,Physical Books,Self-Help Book,P0028,North,320,30,173,29.1,90.38,0,Cloudy,0,93.76,Winter
2023-01-19,S002,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,East,334,18,38,20.0,23.19,15,Sunny,0,21.56,Winter
2023-01-10,S002,HOME IMPROVEMENT,Paint & Finishes,Interior Wall Paint,P0019,West,413,25,196,23.85,38.74,0,Sunny,1,38.15,Winter
2023-01-17,S003,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,South,280,74,58,70.58,62.29,10,Cloudy,0,61.32,Winter
2023-01-10,S002,AUTOMOTIVE,Engine Parts,Spark Plug,P0022,South,431,51,142,50.47,22.02,0,Sunny,0,20.3,Winter
2023-01-21,S005,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,433,42,191,35.92,96.58,15,Cloudy,0,100.52,Winter
2023-01-20,S007,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,East,225,24,122,27.24,88.34,20,Rainy,1,80.04,Winter
2023-01-24,S004,BOOKS & MEDIA,Physical Books,Fiction Novel,P0021,North,113,28,35,30.78,72.87,15,Cloudy,0,69.95,Winter
2023-01-28,S001,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,East,305,5,154,5.5,55.3,0,Rainy,1,49.89,Winter
2023-01-11,S010,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,East,245,3,32,3.29,46.04,10,Sunny,0,41.95,Winter
2023-01-22,S009,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,North,377,59,97,51.09,82.3,10,Rainy,0,84.71,Winter
2023-01-02,S002,KITCHEN,Cookware,Non-stick Pan,P0035,North,303,9,27,7.44,63.74,15,Cloudy,0,67.01,Winter
2023-01-04,S004,BOOKS & MEDIA,Physical Books,Business Book,P0016,North,130,104,11,106.65,81.12,5,Rainy,1,73.75,Winter
2023-01-20,S001,BOOKS & MEDIA,Physical Books,Self-Help Book,P0028,East,479,58,179,62.05,39.82,10,Cloudy,0,42.98,Winter
2023-01-20,S003,AUTOMOTIVE,Engine Parts,Spark Plug,P0022,North,411,30,41,25.82,51.68,5,Sunny,0,55.66,Winter
2023-01-27,S004,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,South,133,82,33,76.72,42.43,10,Snowy,0,45.45,Winter
2023-01-03,S007,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,South,299,86,160,103.01,18.77,15,Sunny,0,16.95,Winter
2023-01-20,S002,BOOKS & MEDIA,Physical Books,Self-Help Book,P0028,West,330,12,22,9.94,73.96,0,Sunny,0,73.38,Winter
2023-01-14,S003,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,North,359,81,104,92.57,92.54,10,Sunny,1,85.67,Winter
2023-01-12,S002,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,West,430,5,189,5.58,72.98,10,Rainy,0,73.87,Winter
2023-01-01,S007,KITCHEN,Small Appliances,Electric Kettle,P0013,South,234,54,118,57.65,41.4,10,Sunny,0,41.14,Winter
2023-01-22,S002,AUTOMOTIVE,Tires & Wheels,All-Season Tire,P0037,South,250,59,154,58.68,73.21,10,Sunny,0,72.86,Winter
2023-01-29,S009,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,South,268,80,8,95.61,79.68,0,Cloudy,0,72.71,Winter
2023-01-14,S004,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,North,171,58,21,49.69,34.65,0,Rainy,0,31.75,Winter
2023-01-25,S009,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,South,253,66,87,78.23,36.72,0,Sunny,0,34.51,Winter
2023-01-04,S009,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,South,416,59,152,51.89,75.05,5,Rainy,0,76.23,Winter
2023-01-11,S006,KITCHEN,Cookware,Saucepan,P0008,North,137,43,29,48.02,70.66,10,Cloudy,0,67.31,Winter
2023-01-11,S003,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,West,309,30,42,31.21,29.45,0,Snowy,1,27.74,Winter
2023-01-16,S006,KITCHEN,Small Appliances,Electric Kettle,P0013,North,520,74,166,88.77,47.26,5,Sunny,0,45.86,Winter
2023-01-29,S002,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,South,480,22,168,23.66,49.37,10,Rainy,0,47.23,Winter
2023-01-21,S002,AUTOMOTIVE,Engine Parts,Engine Oil,P0001,North,223,76,191,83.65,93.45,15,Sunny,0,85.97,Winter
2023-01-13,S005,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,West,179,60,31,56.41,81.44,0,Rainy,0,80.85,Winter
2023-01-20,S006,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,South,391,46,78,52.23,81.56,5,Rainy,0,80.17,Winter
2023-01-25,S001,KITCHEN,Small Appliances,Electric Kettle,P0013,North,185,38,110,34.08,97.61,0,Cloudy,0,91.61,Winter
2023-01-14,S010,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,West,468,41,103,47.63,56.55,15,Snowy,0,55.84,Winter
2023-01-12,S009,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,North,201,43,82,37.9,18.39,10,Rainy,0,18.16,Winter
2023-01-16,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,North,470,25,116,26.34,79.98,5,Snowy,1,74.97,Winter
2023-01-16,S004,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,South,168,50,5,52.77,62.14,20,Sunny,0,57.21,Winter
2023-01-09,S003,HOME IMPROVEMENT,Hand Tools,Hammer,P0023,East,222,65,53,62.16,54.19,0,Cloudy,1,49.01,Winter
2023-01-02,S002,FOOD & GROCERIES,Dairy & Eggs,Brown Eggs,P0041,South,250,66,2,76.66,69.37,5,Rainy,0,71.19,Winter
2023-01-30,S006,FOOD & GROCERIES,Fresh Produce,Apples,P0027,West,198,43,31,37.72,12.66,0,Snowy,1,11.45,Winter
2023-01-25,S006,AUTOMOTIVE,Engine Parts,Engine Oil,P0001,North,266,13,68,11.82,27.93,0,Sunny,0,25.65,Winter
2023-01-23,S008,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,West,302,17,50,18.27,89.86,10,Sunny,0,85.93,Winter
2023-01-30,S010,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,East,312,63,191,57.25,38.69,0,Cloudy,0,35.65,Winter
2023-01-22,S010,HOME IMPROVEMENT,Paint & Finishes,Interior Wall Paint,P0019,East,273,26,8,30.76,32.78,15,Cloudy,0,32.19,Winter
2023-01-31,S001,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,North,235,52,95,49.34,80.16,5,Sunny,0,74.1,Winter
2023-01-17,S006,BOOKS & MEDIA,Physical Books,Business Book,P0016,South,264,90,16,85.88,64.16,15,Sunny,0,64.51,Winter
2023-01-01,S010,FOOD & GROCERIES,Bakery & Bread,Croissants,P0030,North,376,67,50,54.93,54.45,15,Snowy,0,49.51,Winter
2023-01-01,S002,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,West,290,44,147,35.57,11.61,15,Cloudy,0,12.27,Winter
2023-01-31,S005,AUTOMOTIVE,Engine Parts,Oil Filter,P0006,South,417,9,120,7.54,82.23,0,Cloudy,0,85.9,Winter
2023-01-02,S007,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,North,471,13,100,11.95,98.56,20,Rainy,0,98.43,Winter
2023-01-16,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,North,428,30,176,32.69,30.37,0,Sunny,1,27.87,Winter
2023-01-13,S001,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,A4 Notebook,P0031,East,177,20,67,18.63,65.15,0,Sunny,1,69.22,Winter
2023-01-20,S010,BOOKS & MEDIA,Physical Books,Fiction Novel,P0021,West,243,88,105,92.82,70.14,0,Sunny,0,70.45,Winter
2023-01-22,S008,KITCHEN,Cookware,Saucepan,P0008,East,417,10,67,11.06,74.02,20,Sunny,0,71.84,Winter
2023-01-26,S002,KITCHEN,Small Appliances,Mixer Grinder,P0004,North,412,27,124,22.73,28.78,0,Rainy,0,29.3,Winter
2023-01-25,S008,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,South,405,51,98,60.69,88.11,0,Sunny,0,88.35,Winter
2023-01-30,S005,HOME IMPROVEMENT,Hand Tools,Hammer,P0023,West,347,27,190,22.79,11.49,20,Rainy,0,11.4,Winter
2023-01-31,S009,BOOKS & MEDIA,Physical Books,Self-Help Book,P0028,West,343,27,90,26.26,23.56,5,Rainy,1,23.57,Winter
2023-01-02,S008,AUTOMOTIVE,Tires & Wheels,All-Season Tire,P0037,East,260,74,45,76.78,57.66,0,Cloudy,1,57.59,Winter
2023-01-13,S001,HOME IMPROVEMENT,Hand Tools,Adjustable Wrench,P0040,South,124,100,68,89.55,57.89,0,Sunny,1,55.29,Winter
2023-01-24,S007,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,North,221,43,52,40.38,35.92,20,Rainy,0,36.61,Winter
2023-01-08,S003,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Ballpoint Pen,P0026,West,283,15,42,13.12,90.99,20,Cloudy,0,84.47,Winter
2023-01-28,S007,FOOD & GROCERIES,Bakery & Bread,Muffins,P0032,East,241,21,152,19.76,52.64,0,Sunny,0,47.39,Winter
2023-01-25,S001,KITCHEN,Cookware,Non-stick Pan,P0035,North,425,77,128,66.75,23.19,20,Sunny,0,21.31,Winter
